"shots_detailID","TableIndex","MatchID","GameWeek","Player","ForTeam","AgainstTeam","RelativeStrength","Time","ShotOutcome","AssistedBy","ShotType","ShotPosition","ShotSide","Close"
"2207","24","58993","10","Mason Greenwood","Manchester United","Southampton","1","7","Miss","Alex Telles","left footed shot","a difficult angle","the left","close"
"2208","0","58994","10","Conor Gallagher","West Bromwich Albion","Sheffield United","-1","13","Goal","N/A","right footed shot","outside the box","N/A","close"
"2209","1","58994","10","John Lundstram","Sheffield United","West Bromwich Albion","1","89","Blocked","Sander Berge","right footed shot","the box","the centre","not close"
"2210","2","58994","10","Rhian Brewster","Sheffield United","West Bromwich Albion","1","69","Blocked","George Baldock","header","the box","the centre","not close"
"2211","3","58994","10","Matheus Pereira","West Bromwich Albion","Sheffield United","-1","59","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"2212","4","58994","10","John Fleck","Sheffield United","West Bromwich Albion","1","56","Blocked","N/A","left footed shot","outside the box","N/A","not close"
"2213","5","58994","10","Conor Gallagher","West Bromwich Albion","Sheffield United","-1","53","Blocked","Matheus Pereira","right footed shot","the box","the centre","not close"
"2214","6","58994","10","Oliver McBurnie","Sheffield United","West Bromwich Albion","1","49","Blocked","Chris Basham","right footed shot","the box","the centre","not close"
"2215","7","58994","10","Max Lowe","Sheffield United","West Bromwich Albion","1","39","Blocked","Oliver McBurnie","left footed shot","the box","the left","not close"
"2216","8","58994","10","Callum Robinson","West Bromwich Albion","Sheffield United","-1","30","Blocked","Matheus Pereira","right footed shot","outside the box","N/A","not close"
"2217","9","58994","10","Karlan Grant","West Bromwich Albion","Sheffield United","-1","12","Blocked","Matheus Pereira","right footed shot","the box","the right","not close"
"2218","10","58994","10","George Baldock","Sheffield United","West Bromwich Albion","1","5","Blocked","Oliver Burke","right footed shot","the box","the centre","not close"
"2219","11","58994","10","Rhian Brewster","Sheffield United","West Bromwich Albion","1","90+4","Saved","Lys Mousset","right footed shot","outside the box","N/A","close"
"2220","12","58994","10","Hal Robson-Kanu","West Bromwich Albion","Sheffield United","-1","85","Saved","Filip Krovinovic","left footed shot","outside the box","N/A","close"
"2221","13","58994","10","Oliver McBurnie","Sheffield United","West Bromwich Albion","1","81","Saved","Lys Mousset","left footed shot","the box","the centre","close"
"2222","14","58994","10","Oliver McBurnie","Sheffield United","West Bromwich Albion","1","80","Saved","Sander Berge","right footed shot","the six yard box","the right","close"
"2223","15","58994","10","Kyle Bartley","West Bromwich Albion","Sheffield United","-1","52","Saved","Matheus Pereira","header","the box","the centre","close"
"2224","16","58994","10","Oliver McBurnie","Sheffield United","West Bromwich Albion","1","40","Saved","Oliver Norwood","header","the six yard box","the right","close"
"2225","17","58994","10","Conor Gallagher","West Bromwich Albion","Sheffield United","-1","35","Saved","Matheus Pereira","right footed shot","outside the box","N/A","close"
"2226","18","58994","10","Karlan Grant","West Bromwich Albion","Sheffield United","-1","34","Saved","Darnell Furlong","right footed shot","the six yard box","the right","close"
"2227","19","58994","10","Kyle Bartley","West Bromwich Albion","Sheffield United","-1","34","Saved","N/A","right footed shot","the box","the centre","close"
"2228","20","58994","10","Oliver Burke","Sheffield United","West Bromwich Albion","1","16","Saved","Kean Bryan","header","the box","the centre","close"
"2229","21","58994","10","Oliver McBurnie","Sheffield United","West Bromwich Albion","1","90+7","Miss","John Fleck","header","the box","the centre","not close"
"2230","22","58994","10","Lys Mousset","Sheffield United","West Bromwich Albion","1","90+6","Miss","N/A","right footed shot","very close range","N/A","close"
"2231","23","58994","10","Rhian Brewster","Sheffield United","West Bromwich Albion","1","90+6","Miss","George Baldock","right footed shot","the box","the centre","not close"
"2232","24","58994","10","Darnell Furlong","West Bromwich Albion","Sheffield United","-1","88","Miss","Matheus Pereira","header","the box","the centre","not close"
"2233","25","58994","10","George Baldock","Sheffield United","West Bromwich Albion","1","63","Miss","Oliver Burke","left footed shot","the box","the centre","not close"
"2234","26","58994","10","Oliver McBurnie","Sheffield United","West Bromwich Albion","1","61","Miss","John Fleck","header","the box","the centre","not close"
"2235","27","58994","10","Conor Gallagher","West Bromwich Albion","Sheffield United","-1","59","Miss","Matheus Pereira","right footed shot","outside the box","N/A","close"
"2236","28","58994","10","Chris Basham","Sheffield United","West Bromwich Albion","1","56","Miss","Rhian Brewster","left footed shot","the box","the centre","not close"
"2237","29","58994","10","Conor Gallagher","West Bromwich Albion","Sheffield United","-1","52","Miss","Matheus Pereira","right footed shot","outside the box","N/A","not close"
"2238","30","58994","10","Matheus Pereira","West Bromwich Albion","Sheffield United","-1","45+1","Miss","Darnell Furlong","left footed shot","outside the box","N/A","close"
"2239","31","58994","10","Sander Berge","Sheffield United","West Bromwich Albion","1","41","Miss","Oliver McBurnie","right footed shot","the box","the right","not close"
"2240","32","58994","10","Darnell Furlong","West Bromwich Albion","Sheffield United","-1","34","Miss","Matheus Pereira","header","the box","the centre","not close"
"2241","33","58994","10","Matheus Pereira","West Bromwich Albion","Sheffield United","-1","24","Miss","Karlan Grant","left footed shot","the box","the left","not close"
"2242","34","58994","10","Kyle Bartley","West Bromwich Albion","Sheffield United","-1","11","Miss","N/A","right footed shot","the six yard box","the right","not close"
"2243","35","58994","10","Chris Basham","Sheffield United","West Bromwich Albion","1","5","Miss","N/A","left footed shot","outside the box","N/A","not close"
"2244","36","58994","10","John Fleck","Sheffield United","West Bromwich Albion","1","4","Miss","N/A","left footed shot","the box","the left","close"
"2245","37","58994","10","Oliver Burke","Sheffield United","West Bromwich Albion","1","1","Miss","Oliver McBurnie","right footed shot","the box","the centre","not close"
"2246","0","58995","10","Jarrod Bowen","West Ham United","Aston Villa","1","46","Goal","Said Benrahma","an attempt","the box","the centre","close"
"2247","1","58995","10","Jack Grealish","Aston Villa","West Ham United","-1","25","Goal","Matthew Cash","right footed shot","outside the box","N/A","close"
"2248","2","58995","10","Angelo Ogbonna","West Ham United","Aston Villa","1","2","Goal","Jarrod Bowen","header","the six yard box","the left","close"
"2249","3","58995","10","Ollie Watkins","West Ham United","Aston Villa","1","74","Woodwork","N/A","right footed shot","penalty","N/A","close"
"2250","4","58995","10","Jack Grealish","Aston Villa","West Ham United","-1","87","Blocked","Matt Targett","right footed shot","outside the box","N/A","not close"
"2251","5","58995","10","Said Benrahma","West Ham United","Aston Villa","1","55","Blocked","Jarrod Bowen","right footed shot","the box","the left","not close"
"2252","6","58995","10","John McGinn","Aston Villa","West Ham United","-1","48","Blocked","Jack Grealish","right footed shot","the box","the right","not close"
"2253","7","58995","10","Jarrod Bowen","West Ham United","Aston Villa","1","45","Blocked","Declan Rice","left footed shot","outside the box","N/A","not close"
"2254","8","58995","10","Trezeguet","Aston Villa","West Ham United","-1","18","Blocked","Jack Grealish","right footed shot","the box","the right","not close"
"2255","9","58995","10","Tomas Soucek","West Ham United","Aston Villa","1","2","Blocked","N/A","right footed shot","the box","the centre","not close"
"2256","10","58995","10","Bertrand Traore","Aston Villa","West Ham United","-1","89","Saved","Jack Grealish","left footed shot","outside the box","N/A","close"
"2257","11","58995","10","Ezri Konsa Ngoyo","Aston Villa","West Ham United","-1","66","Saved","Matt Targett","right footed shot","outside the box","N/A","close"
"2258","12","58995","10","Trezeguet","Aston Villa","West Ham United","-1","63","Saved","Ollie Watkins","left footed shot","the box","the centre","close"
"2259","13","58995","10","Jack Grealish","Aston Villa","West Ham United","-1","50","Saved","Matt Targett","left footed shot","the box","the left","close"
"2260","14","58995","10","Conor Hourihane","Aston Villa","West Ham United","-1","22","Saved","N/A","left footed shot","outside the box","N/A","close"
"2261","15","58995","10","Ollie Watkins","Aston Villa","West Ham United","-1","70","Miss","Jack Grealish","header","the box","the centre","not close"
"2262","16","58995","10","Ollie Watkins","Aston Villa","West Ham United","-1","66","Miss","Matthew Cash","header","the box","the centre","not close"
"2263","17","58995","10","Trezeguet","Aston Villa","West Ham United","-1","61","Miss","Douglas Luiz","header","the box","the centre","not close"
"2264","18","58995","10","Conor Hourihane","Aston Villa","West Ham United","-1","43","Miss","Jack Grealish","left footed shot","outside the box","N/A","close"
"2265","19","58995","10","Ollie Watkins","Aston Villa","West Ham United","-1","37","Miss","Trezeguet","right footed shot","the box","the centre","close"
"2266","20","58995","10","Vladimir Coufal","West Ham United","Aston Villa","1","31","Miss","Arthur Masuaku","right footed shot","outside the box","N/A","not close"
"2267","21","58995","10","Ezri Konsa Ngoyo","Aston Villa","West Ham United","-1","19","Miss","Matt Targett","header","the box","the centre","not close"
"2268","0","58986","10","Daniel Podence","Wolverhampton Wanderers","Arsenal","-1","42","Goal","N/A","right footed shot","the box","the centre","close"
"2269","1","58986","10","Gabriel Magalhaes","Arsenal","Wolverhampton Wanderers","1","30","Goal","Willian","header","the box","the centre","close"
"2270","2","58986","10","Pedro Neto","Wolverhampton Wanderers","Arsenal","-1","27","Goal","N/A","right footed shot","the box","the centre","close"
"2271","3","58986","10","Leander Dendoncker","Wolverhampton Wanderers","Arsenal","-1","27","Woodwork","Adama Traore","header","very close range","N/A","close"
"2272","4","58986","10","Kieran Tierney","Arsenal","Wolverhampton Wanderers","1","90+3","Blocked","Bukayo Saka","left footed shot","the box","the left","not close"
"2273","5","58986","10","Pierre-Emerick Aubameyang","Arsenal","Wolverhampton Wanderers","1","81","Blocked","N/A","right footed shot","outside the box","N/A","not close"
"2274","6","58986","10","Joe Willock","Arsenal","Wolverhampton Wanderers","1","80","Blocked","N/A","right footed shot","the box","the left","not close"
"2275","7","58986","10","Pierre-Emerick Aubameyang","Arsenal","Wolverhampton Wanderers","1","73","Blocked","N/A","right footed shot","the box","the left","not close"
"2276","8","58986","10","Daniel Podence","Wolverhampton Wanderers","Arsenal","-1","60","Blocked","N/A","left footed shot","the box","the left","not close"
"2277","9","58986","10","Joao Moutinho","Wolverhampton Wanderers","Arsenal","-1","52","Blocked","Pedro Neto","right footed shot","outside the box","N/A","not close"
"2278","10","58986","10","Fabio Silva","Wolverhampton Wanderers","Arsenal","-1","51","Blocked","Pedro Neto","right footed shot","the box","the centre","not close"
"2279","11","58986","10","Fabio Silva","Wolverhampton Wanderers","Arsenal","-1","33","Blocked","Adama Traore","right footed shot","the box","the right","not close"
"2280","12","58986","10","Pierre-Emerick Aubameyang","Arsenal","Wolverhampton Wanderers","1","45+1","Saved","David Luiz","right footed shot","the box","the right","close"
"2281","13","58986","10","Fabio Silva","Wolverhampton Wanderers","Arsenal","-1","45+1","Saved","Nelson Semedo","right footed shot","the box","the centre","close"
"2282","14","58986","10","Pedro Neto","Wolverhampton Wanderers","Arsenal","-1","42","Saved","Adama Traore","left footed shot","outside the box","N/A","close"
"2283","15","58986","10","Leander Dendoncker","Wolverhampton Wanderers","Arsenal","-1","34","Saved","Pedro Neto","header","the box","the centre","close"
"2284","16","58986","10","Pierre-Emerick Aubameyang","Arsenal","Wolverhampton Wanderers","1","82","Miss","N/A","header","the box","the centre","not close"
"2285","17","58986","10","Reiss Nelson","Arsenal","Wolverhampton Wanderers","1","74","Miss","Bukayo Saka","right footed shot","the box","the centre","not close"
"2286","18","58986","10","Rob Holding","Arsenal","Wolverhampton Wanderers","1","64","Miss","Bukayo Saka","header","very close range","N/A","close"
"2287","19","58986","10","Willian","Arsenal","Wolverhampton Wanderers","1","57","Miss","N/A","right footed shot","outside the box","N/A","not close"
"2288","20","58986","10","Bukayo Saka","Arsenal","Wolverhampton Wanderers","1","50","Miss","Hector Bellerin","left footed shot","the box","the centre","not close"
